Order_ID,Customer,Product_ID,Destination_Port,Unit_quantity,Weight,decision_space_size,decision_space_plants,decision
1447296447,V55555_53,1700106,PORT09,808,14.3,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447158015,V55555_53,1700106,PORT09,3188,87.94,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447138899,V55555_53,1700106,PORT09,2331,61.2,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447363528,V55555_53,1700106,PORT09,847,16.16,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447363981,V55555_53,1700106,PORT09,2163,52.34,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447351441,V55555_53,1700106,PORT09,3332,92.8,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447320236,V55555_53,1700106,PORT09,1782,46.9,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447158019,V55555_53,1700106,PORT09,427,2.86,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447219341,V55555_53,1700106,PORT09,1291,26.6,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447398416,V55555_53,1700106,PORT09,2294,62.2,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447381679,V55555_53,1700106,PORT09,2766,75.5,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447170785,V55555_53,1700106,PORT09,798,14.3,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447155056,V55555_53,1697884,PORT09,739,73.9,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447257265,V55555_53,1697884,PORT09,280,7.8,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447240989,V55555_53,1697884,PORT09,574,59.5,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447257231,V55555_53,1697884,PORT09,556,52.7,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447260653,V55555_53,1697884,PORT09,544,58.5,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447139375,V55555_53,1697884,PORT09,1151,181.7,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447308590,V55555_53,1697884,PORT09,1404,227.2,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447191271,V55555_53,1697884,PORT09,662,74.1,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447191284,V55555_53,1699336,PORT09,836,80.43,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447352426,V55555_53,1702652,PORT09,2063,265.1,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447211829,V55555_53,1699337,PORT09,2114,267.1,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447232833,V55555_53,1699337,PORT09,2108,271.1,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447205081,V55555_53,1699336,PORT09,1120,112.6,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447365980,V55555_53,1702654,PORT09,706,61.8,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447157118,V55555_53,1699336,PORT09,889,107.88,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447398413,V55555_53,1702652,PORT09,1793,216.57,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447377319,V55555_53,1702652,PORT09,491,27.81,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447257239,V55555_53,1699337,PORT09,1044,112.6,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447368959,V55555_53,1702653,PORT09,447,32.9,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447308591,V55555_53,1699336,PORT09,328,13.36,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447398479,V55555_53,1702652,PORT09,973,106.88,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447377316,V55555_53,1702652,PORT09,1179,129.14,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447365993,V55555_53,1702653,PORT09,814,74.25,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447223051,V55555_53,1699336,PORT09,1464,171.22,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447260686,V55555_53,1699337,PORT09,347,6.18,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447299202,V55555_53,1699336,PORT09,771,77.25,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447330061,V55555_53,1702652,PORT09,469,27.9,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447260670,V55555_53,1699336,PORT09,382,15.45,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447157119,V55555_53,1699337,PORT09,507,43.17,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447205082,V55555_53,1699336,PORT09,419,16.45,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447398412,V55555_53,1702654,PORT09,452,33.9,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447257238,V55555_53,1699336,PORT09,486,24.72,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447241003,V55555_53,1699336,PORT09,729,60.8,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447398481,V55555_53,1702652,PORT09,366,19.54,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447398420,V55555_53,1702653,PORT09,539,43.26,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447308592,V55555_53,1699337,PORT09,304,9.27,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447241005,V55555_53,1699337,PORT09,544,46.35,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447191288,V55555_53,1699337,PORT09,679,65.8,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447232831,V55555_53,1699336,PORT09,868,101.7,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447377317,V55555_53,1702654,PORT09,672,66.8,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447211552,V55555_53,1699336,PORT09,890,84.7,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447257266,V55555_53,1699336,PORT09,801,78.34,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447365979,V55555_53,1702652,PORT09,605,46.35,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447299203,V55555_53,1699337,PORT09,897,89.7,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447257425,V55555_53,1697883,PORT09,840,83.4,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447260633,V55555_53,1697883,PORT09,631,50.68,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447296448,V55555_53,1700035,PORT09,1287,15.4,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447363577,V55555_53,1700035,PORT09,3308,48.2,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447320237,V55555_53,1700035,PORT09,2233,31.26,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447202431,V55555_53,1700035,PORT09,1276,16.4,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447211553,V55555_53,1700035,PORT09,1325,14.4,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447219352,V55555_53,1700035,PORT09,735,7.7,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447320235,V55555_53,1700035,PORT09,1294,16.4,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447158020,V55555_53,1700035,PORT09,696,6.16,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447260609,V55555_53,1700035,PORT09,3333,42.2,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447158014,V55555_53,1700035,PORT09,2928,38.04,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447191275,V55555_53,1700035,PORT09,1279,14.4,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447170786,V55555_53,1700035,PORT09,1320,16.4,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
1447138897,V55555_53,1700035,PORT09,2285,32.8,1,['PLANT16'],"(4.7563741745191, 'PLANT16', 2.8365666666666662, 'PORT09')"
